Feature,F_Test_Score,F_Test_PValue,Mutual_Info_Score,RFE_Ranking,RFE_Support,F_Test_Normalized,MI_Normalized,RFE_Normalized,F_Test_Support,MI_Support,Ensemble_Score,Ensemble_Rank
Feature_1,493.3125341865906,3.95357333508113e-89,0.2172340795100498,1,True,0.9542420386097682,1.0,1.0,True,True,0.9816968154439074,1.0
Feature_2,126.52499436232233,1.0135718140368536e-27,0.04325166701910588,1,True,0.24474016697131637,0.1991016654323105,1.0,True,True,0.4576265664182197,8.0
Feature_3,414.7789739238006,2.220541655954355e-77,0.17566560391982344,1,True,0.8023292772886597,0.8086466189652195,1.0,True,True,0.8635256966050298,5.0
Feature_4,283.9232552439724,2.9585042983977163e-56,0.1252362866088741,1,True,0.5492062367338617,0.5765038657439582,1.0,True,True,0.6926336544167322,7.0
Feature_5,0.0029267992171649135,0.9568663990697595,0.0253240234114116,11,False,0.0,0.11657481859442798,0.0,False,True,0.03497244557832839,20.0
Feature_6,16.115255589031424,6.406486364335772e-05,0.0,3,False,0.03116716407079801,0.0,0.8,True,False,0.2524668656283192,12.0
Feature_7,1.0043954222139628,0.3164922029925175,0.009971482896371064,9,False,0.0019372082888743716,0.04590201923593558,0.19999999999999996,False,False,0.07454548908633041,18.0
Feature_8,1.0878921041084635,0.2971913068540226,0.0,8,False,0.0020987215510427965,0.0,0.30000000000000004,False,False,0.09083948862041713,17.0
Feature_9,1.4402048557196456,0.23039098950143916,0.011758797950597755,2,False,0.0027802238637712725,0.054129618967330415,0.9,False,False,0.28735097523570763,11.0
Feature_10,485.48166381323574,5.498742283356623e-88,0.1885881164010057,1,True,0.9390942579923696,0.868133199111059,1.0,True,True,0.9360776629302656,3.0
Feature_11,516.9677925538998,1.5126729093116697e-92,0.19798320728692453,1,True,1.0,0.9113818961253974,1.0,True,True,0.9734145688376192,2.0
Feature_12,0.16027631598032446,0.6889879268735775,0.0108455074828957,6,False,0.00030437178072721725,0.049925442211262064,0.5,False,False,0.1650993813756695,15.0
Feature_13,17.46535421782783,3.182426697649864e-05,0.0,5,False,0.03377875088884122,0.0,0.6,True,False,0.1935115003555365,14.0
Feature_14,4.4316537387065695,0.035527753213405726,0.055957588862664,1,True,0.008566785158647486,0.25759120755302695,1.0,False,True,0.3807040763293671,9.0
Feature_15,416.9154703436252,1.0427899362866336e-77,0.1975803555355795,1,True,0.8064620463825625,0.9095274368607479,1.0,True,True,0.8954430496112493,4.0
Feature_16,0.1662576841362737,0.6835468186140631,0.0,7,False,0.00031594194448915385,0.0,0.4,False,False,0.12012637677779565,16.0
Feature_17,4.688003902783839,0.030610300747051098,0.0005512725511607197,4,False,0.00906266056732355,0.0025376890790066685,0.7,False,False,0.2143863709506314,13.0
Feature_18,338.97347064163586,2.137190280440948e-65,0.15179605159717036,1,True,0.6556935805445466,0.6987672097284712,1.0,True,True,0.7719075951363601,6.0
Feature_19,2.0956425795028655,0.14803364336891695,0.006978339687670365,1,True,0.004048081250610105,0.03212359544786585,1.0,False,False,0.3112563111346038,10.0
Feature_20,0.3608104381677644,0.5481928670714731,0.007537612600000632,10,False,0.0006922784557672967,0.03469811282373824,0.09999999999999998,False,False,0.04068634522942838,19.0
